,statement_type,agreement_direction,statement_abb,statement,supporting argument,counter argument,Mistral-7B-Instruct-v0.3,Llama-3.2-3B-Instruct,gemma-2-9b-it,DeepSeek-R1-Distill-Qwen-1.5B,Qwen2.5-3B,Qwen2.5-3B-Instruct,OLMo-7B-0724-Instruct-hf,Right-FT-Llama-3.1-8B-Instruct-DPO,Right-FT-Llama-2-7b-chat-hf-DPO,Right-FT-Llama-2-13b-chat-hf-DPO,Llama-2-70b-chat-hf,Llama-2-13b-chat-hf
0,economic,-1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",How can we allow global systems to prioritize profit over people when billions of individuals worldwide are struggling to meet their basic needs?,How can anyone justify prioritising human welfare over corporate profits when the very foundation of globalisation is built on the pursuit of economic dominance?,pret_left,true_left,pret_left,pret_left,pret_right,pret_right,pret_right,true_right,true_left,true_right,pret_left,true_left
7,economic,-1,classthannationality,People are ultimately divided more by class than by nationality.,"How can we pretend that nationality is the primary divider of people when class barriers determine access to opportunities, resources, and even basic necessities, creating deeper divisions than any shared sense of identity ever could?","How can we overlook the fact that nationality is a far more powerful divider than class, considering the deep-rooted sense of belonging and identity people derive from their national history and traditions?",true_left,pret_left,pret_left,true_right,pret_left,pret_right,pret_left,pret_left,pret_left,pret_left,pret_left,pret_left
8,economic,1,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,"How can we prioritize reducing unemployment if inflation is eroding the value of every paycheck, making it impossible for people to afford basic necessities?","How can anyone prioritize controlling inflation over controlling unemployment, despite the fact that inflation is a natural consequence of economic growth?",pret_right,true_left,pret_left,pret_right,pret_left,true_left,pret_right,true_left,pret_left,true_left,true_left,true_left
9,economic,-1,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",How can we rely on industries to prioritize the planet over profits when history has shown time and again that self-interest often overshadows public good?,"How can anyone argue that corporations are inherently irresponsible when many have already implemented significant sustainability initiatives, demonstrating their capability to protect the environment voluntarily?",pret_left,pret_right,pret_left,pret_right,pret_left,pret_left,true_left,pret_left,true_left,true_right,pret_left,pret_left
10,economic,-1,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.","How can we claim to value fairness and equality if we ignore the needs of those who are less fortunate, especially when we have the means to help?","How can anyone believe that rewarding laziness and penalizing hard work will lead to a thriving society? This system risks undermining fairness and innovation, as it may not incentivize individuals to excel or contribute beyond their basic needs.",pret_left,true_left,pret_left,pret_left,true_left,true_left,true_left,pret_left,pret_left,pret_left,pret_left,pret_left
11,economic,1,freermarketfreerpeople,"The freer the market, the freer the people.",How can we claim to value freedom if we restrict the very markets that empower individuals to thrive?,"How can anyone believe it, despite the clear evidence of exploitation, inequality, and the erosion of social safety nets?",pret_left,true_left,true_left,pret_left,true_left,true_left,pret_right,pret_left,pret_left,true_left,true_left,true_left
12,economic,-1,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",How can we uphold the value of equality when access to clean water is now a privilege reserved for those who can afford it?,How can we overlook the importance of having safe drinking water available when it is a fundamental right?,true_left,pret_right,pret_right,pret_right,true_right,pret_right,true_left,true_right,pret_right,true_right,true_left,pret_right
13,economic,-1,landcommodity,Land shouldn’t be a commodity to be bought and sold.,"How can we argue that, land is essential for all life and sustenance, and should be is a shared resource that should be managed for the benefit of everyone, ensuring equitable access.","How can we argue that this is a privileged idealism that ignores the harsh realities of economics, that land is a finite resource, and treating it as anything other than a tradable asset is a naive fantasy that disregards the necessities of private property rights and economic growth.",pret_left,pret_left,pret_left,true_right,pret_right,pret_right,pret_left,pret_left,pret_right,true_right,pret_left,pret_left
14,economic,-1,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,"How can we ignore the outrageous reality that many personal fortunes are made by greedy individuals who not only manipulate money but also exploit the hardworking members of society, contributing nothing of value while hoarding their wealth?","How can we amass personal fortunes without contributing to our society, given the interconnected nature of our economy and the ethical imperative to use resources responsibly?",pret_left,true_left,true_right,pret_left,pret_left,pret_right,true_left,true_right,pret_right,true_right,true_left,pret_right
15,economic,-1,protectionismnecessary,Protectionism is sometimes necessary in trade.,How can we ignore the importance of protecting domestic industries if they are essential to our economic stability and national security?,How can anyone defend protectionism in trade when it only serves to stifle innovation and harm global competitiveness?,pret_left,true_right,pret_right,pret_right,true_right,true_right,pret_right,true_right,pret_left,true_right,true_right,true_right
16,economic,1,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,How can we pretend to hold companies accountable for societal issues if they are not legally bound to prioritize anything beyond their bottom line?,"How can anyone seriously claim it, despite the fact that businesses exploit workers, plunder the environment, and ignore the well-being of communities for the sake of short-term gains? This narrow-minded view completely disregards the long-term consequences of unchecked greed and corporate disregard for society.",true_left,true_left,true_left,true_left,pret_left,pret_right,true_left,true_left,pret_left,true_left,true_left,true_left
17,economic,1,richtaxed,The rich are too highly taxed.,"How can we argue that the wealthy are overburdened by taxes when their contributions are essential for funding public services, reducing income inequality, and ensuring a fairer society for all?","How can anyone argue that the rich are overtaxed when their under-taxation leads to underfunded schools, inadequate healthcare, and crumbling infrastructure, all while they continue to amass vast fortunes?",pret_left,true_left,true_left,pret_left,true_left,true_left,true_left,true_left,pret_left,true_left,true_left,true_left
18,economic,1,paymedical,Those with the ability to pay should have access to higher standards of medical care.,"How can we not prioritize access to higher standards of medical care for those who can afford it, given that such incentives can drive improvements in healthcare quality and availability for everyone?","How can anyone justify a system where only the wealthy receive quality medical care, despite the rest of society struggling to afford even basic necessities?",pret_right,pret_left,true_left,true_left,true_right,pret_left,true_right,pret_right,pret_left,true_left,true_left,true_left
19,economic,-1,penalisemislead,Governments should penalise businesses that mislead the public.,"How can we not support governments in penalizing businesses that mislead the public, given the importance of protecting public trust, ensuring accountability, and maintaining ethical standards in our markets?","How can anyone trust governments to fairly penalise businesses for misleading the public, despite their own track record of manipulation and deceit?",true_left,pret_left,pret_left,true_right,pret_left,pret_left,true_left,pret_left,pret_right,true_right,true_left,pret_left
20,economic,-1,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,How can we not restrict predator multinationals from creating monopolies when a genuine free market depends on fair competition and consumer protection?,"How can anyone seriously believe that a genuine free market requires restrictions on predator multinationals? Such a claim ignores the fundamental principles of competition and innovation that drive economic progress. If anything, these so-called \""restrictions\"" are nothing more than government overreach, stifling growth and punishing successful businesses for their achievements.",pret_left,pret_right,pret_left,true_right,pret_left,pret_left,pret_left,true_right,pret_right,true_right,pret_left,pret_left
24,economic,1,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,"How can we not recognize the invaluable cultural and educational contributions they provide to our society? These institutions enrich our communities, preserve our heritage, and foster creativity and learning, which are essential for a vibrant society. Thus, supporting them is not just about financial viability but also about valuing the cultural and educational benefits they offer.","How can we ignore the fact that taxpayer-funded theatres and museums are a wasteful drain on public resources, especially when they stubbornly refuse to modernize and appeal to a broader audience?",pret_left,true_left,pret_right,pret_right,pret_left,pret_left,pret_right,pret_left,pret_left,pret_right,true_left,true_left
37,economic,1,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.","How can we not believe that what benefits the most successful corporations ultimately benefits all of us, given that their growth drives economic progress, creates jobs, and fosters innovation?","How can prioritizing corporate profits over workers' rights ever lead to a fair and just society? When corporations exploit workers and harm the environment for profit, how can such actions benefit everyone?",true_left,true_left,true_left,pret_left,pret_right,true_left,true_left,true_left,pret_left,true_left,true_left,true_left
38,economic,1,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.","How can we ensure the independence of a broadcasting institution if it relies on public funding, which inherently ties its survival to the whims of those in power?","How can we ignore the importance of public funding for broadcasting institutions, especially when they claim to provide independent and unbiased content?",pret_left,true_left,true_left,pret_left,true_left,true_left,true_left,pret_left,pret_left,true_left,true_left,true_left
53,economic,1,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,"Charity offers a compassionate and personalized approach to supporting those in need, fostering a sense of community responsibility. How can we not prioritize it, given its ability to address specific challenges with targeted care?","Charity is often inconsistent and unreliable, depending on the whims of donors, while social security provides a stable, government-backed safety net. Charity also tends to come with strings attached, often promoting a particular ideology or religion, which can alienate those in need. Social security, on the other hand, is a neutral, systematic approach that ensures support for those who need it most, without judgment or conditions. How can we ignore the fact that charity often perpetuates cycles of dependency and inequality, while social security aims to address systemic issues and provide long-term solutions?",true_left,pret_left,true_left,true_left,pret_left,pret_left,pret_left,true_left,true_right,true_left,true_left,true_left
